chapter,question,answer
4.2,What is the binary expansion of 321?,101000001
4.2,What is the binary expansion of 1023?,1111111111
4.2,What is the decimal expansion of 1 1000?,24
4.2,What is the decimal expansion of 11 1111 1110?,1022
4.2,What is the binary expansion of 80A?,100000001010
4.2,What is the binary expansion of ABBA?,1010101110111010
4.2,What is the hexidecimal notation of 1111 0111?,F
4.2,What is the hexidecimal notation of 0101 0101 0101 0101?,5555
4.2,What is the sum of these base 2 numbers in base 2? 100 0111 and 111 1001,1100 0000
4.2,What is the product of these base 2 numbers in base 2? 100 0111 and 111 1001,10000110001111
4.2,What is the sum of these base 2 numbers in base 2? 10 1010 1010 and 1 1111 0001,10010011011
4.2,What is the product of these base 2 numbers in base 2? 10 1010 1010 and 1 1111 0001,1010010110000001010
4.2,What is the sum of these base 3 numbers in base 3? 112 and 210,1022
4.2,What is the product of these base 3 numbers in base 3? 112 and 210,101220
4.2,What is the sum of these base 3 numbers in base 3? 20001 and 1121,21122
4.2,What is the product of these base 3 numbers in base 3? 20001 and 1121,100121121
4.2,What is the sum of these base 8 numbers in base 8? 763 and 146,1131
4.2,What is the product of these base 8 numbers in base 8? 763 and 146,143322
4.2,What is the sum of these base 8 numbers in base 8? 1111 and 776,2107
4.2,What is the product of these base 8 numbers in base 8? 1111 and 776,1106556
4.2,What is the sum of these base 16 numbers in base 16? 1AE and BBC,D6A
4.2,What is the product of these base 16 numbers in base 16? 1AE and BBC,13B5C8
4.2,What is the sum of these base 16 numbers in base 16? ABCDE and 1113,ACDF1
4.2,What is the product of these base 16 numbers in base 16? ABCDE and 1113,B756C27A
4.3,What is the greatest prime factor of 39?,13
4.3,What is the greatest prime factor of 2401?,7
4.3,What is the greatest prime factor of 109?,109
4.3,What is the greatest prime factor of 39?,13
4.3,What is the smallest prime factor of 77?,7
4.3,What is the greatest prime factor of 361?,19
4.3,What is the smallest prime factor of 1147?,31
4.3,(Y/N) Is the prime factorization of 10! equal to (2^8)*(3^2)*(5^2)*(7)?,n
4.3,(Y/N) Are the values presented not relatively prime to 18? [2 3 6],y
4.3,(Y/N) Are these values pairwise relatively prime? [21 34 55],y
4.3,(Y/N) Are these values pairwise relatively prime? [14 15 85],n
4.3,(Y/N) Are these values pairwise relatively prime? [23 41 49 64],y
4.3,(Y/N) Are these values pairwise relatively prime? [17 18 19 23],y
Lucky,Press 0,0
Unlucky,Guess a letter,D
Lucky,Press Yes,y
Unlucky,Guess a number,4
Lucky,Press A,A
Unlucky,Guess Y/N,y
6.1,(Y/N) There are 21 math majors and 325 CS majors. Should you use the product rule to find out the number of ways that two representatives can be picked so that one is a math major AND the other is a CS major?,y
6.1,There are 21 math majors and 325 CS majors. How many ways can two representatives be picked so that one is a math major AND the other is a CS major?,6825
6.1,(Y/N) There are 21 math majors and 325 CS majors. Should you use the product rule to find out the number of ways that two representatives can be picked so that one is either a math major OR a CS major?,n
6.1,There are 21 math majors and 325 CS majors. How many ways can two representatives be picked so that one is either a math major OR a CS major?,346
6.1,(Y/N) A building contains 28 floors and 37 offices per floor. Should you use the sum rule to find the total number of offices in the building?,n
6.1,A building contains 28 floors and 37 offices per floor. How many offices are in the building?,1036
6.1,A 10 questions test has four possible answers per question. How many ways can the student answer the questions on the test if the student answers each question?,1048576
6.1,A 10 questions test has four possible answers per question. How many ways can the student answer the questions on the test if the student can leave answers blank?,9765625
6.1,A brand of shirt comes in 12 colors. Has an adult and child varients. For each varient there are three sizes. How many differnt types of this shirt are made?,72
6.1,(Y/N) Consider people with three-letter initials. Is [26 25 24] the number of choices for the first-second-third initials if none of the letters are repeated?,y
6.1,Consider people with three-letter initials. How many different three-leter initials are there with no letters repeated?,15600
6.1,How many bit strings of length 12 both begin and end with 1?,1024
6.1,(Y/N) Consider all bit strings of length six or less. You should use the subtraction and division rule to calculate the number of bit strings of length six or less - not counting the empty string.,n
6.1,Consider all bit strings of length six or less. How many bit strings are there of length six or less - not counting the empty string?,126
6.1,(Y/N) Consider all bit strings of length four or less. You should use the sum and product rule to calculate the number of bit strings of length four or less - not counting the empty string.,y
6.1,Consider strings of four lowercase letters. How many strings are there of four lowercase letters that have the letter x in them?,66351
6.1,Consider two positive integers 5 and 31. How many positive integers between 5 and 31 that are divisible by 3?,9
6.3,(Y/N) [abc acb bac bca cab cba] Are these all permutations of [a b c].,y
6.3,Find the total number of different permutations of the set [a b c d e f g].,5040
6.3,P(6 1) Do math.,6
6.3,P(6 4) Do math.,360
6.3,P(8 2) Do math.,56
6.3,P(8 5) Do math.,6720
6.3,C(5 0) Do math.,1
6.3,C(8 4) Do math.,70
6.3,In how many different orders can four runners finish a race if no ties are allowed?,24
6.3,How many possibilities are there for the win place and show positions in a horse race with 12 horses if all orders of finish are possible?,1320
6.3,(Y/N) the bit strings of length 7 have exactly four ones is 34.,n
6.3,(Y/N) the bit strings of length 11 have at most four ones is 562.,y
6.3,(Y/N) the bit strings of length 10 have at least four ones is 848.,y
6.3,In how many ways can a set of six letters be selected from the English alphabet?,230230
6.3,(Y/N) the bit strings of length 12 have exactly three zeros is 240.,n
6.3,A club has 27 members. How many ways are there to choose four members of the club to serve on an executive committee?,17550
6.3,A club has 27 members. How many ways are there to choose a president vice president secretary and treasurer of the club where no person can hold more than one office?,421200
6.3,7 women and 9 men are on the faculty in the mathematics department at a school. How many ways are there to select a committee of five members of the department if at least one woman and at least one man must be on the committee?,4221
6.3,Suppose that a department contains 10 men and 13 women. How many ways are there to form a committee with six members if it must have the same number of men and women?,34320
